0.892,0.892,0.622,0.556,0.542,0.888,0.892,0.546,0.518,0.892,0.886,0.89,0.882,0.868,0.666,0.502,0.88,0.892,0.886,0.886
0.888,0.894,0.53,0.57,0.882,0.886,0.892,0.886,0.89,0.888,0.562,0.87,0.888,0.894,0.592,0.53,0.89,0.54,0.486,0.452
0.528,0.892,0.888,0.888,0.896,0.896,0.892,0.886,0.894,0.886,0.886,0.892,0.89,0.876,0.89,0.892,0.502,0.526,0.51,0.896
0.528,0.594,0.538,0.888,0.58,0.894,0.86,0.894,0.892,0.884,0.892,0.89,0.904,0.522,0.568,0.498,0.512,0.892,0.482,0.888
0.88,0.538,0.572,0.896,0.882,0.912,0.864,0.89,0.888,0.878,0.892,0.856,0.902,0.574,0.53,0.492,0.886,0.862,0.506,0.514
0.89,0.896,0.892,0.892,0.896,0.888,0.892,0.89,0.894,0.89,0.888,0.886,0.892,0.902,0.89,0.506,0.518,0.558,0.892,0.896
0.888,0.886,0.89,0.888,0.886,0.89,0.88,0.882,0.894,0.886,0.884,0.892,0.894,0.89,0.53,0.89,0.544,0.58,0.892,0.89
0.886,0.546,0.906,0.886,0.554,0.54,0.908,0.514,0.89,0.892,0.892,0.886,0.518,0.89,0.896,0.512,0.496,0.522,0.538,0.898
0.524,0.532,0.882,0.884,0.89,0.532,0.886,0.886,0.888,0.578,0.886,0.88,0.896,0.888,0.526,0.906,0.504,0.526,0.482,0.896
0.89,0.53,0.864,0.896,0.602,0.892,0.872,0.876,0.894,0.562,0.886,0.888,0.892,0.898,0.888,0.886,0.508,0.524,0.478,0.88
0.524,0.892,0.888,0.562,0.886,0.538,0.64,0.894,0.89,0.888,0.89,0.886,0.518,0.53,0.89,0.892,0.508,0.872,0.894,0.89
0.856,0.526,0.884,0.896,0.56,0.89,0.528,0.882,0.89,0.884,0.888,0.884,0.892,0.506,0.882,0.494,0.882,0.526,0.886,0.894
0.528,0.536,0.564,0.868,0.886,0.886,0.562,0.892,0.884,0.886,0.89,0.892,0.522,0.524,0.598,0.82,0.888,0.89,0.892,0.602
0.528,0.892,0.574,0.55,0.902,0.854,0.872,0.864,0.89,0.89,0.882,0.884,0.896,0.888,0.522,0.536,0.89,0.526,0.494,0.514
0.89,0.888,0.89,0.898,0.89,0.562,0.574,0.888,0.892,0.544,0.888,0.888,0.89,0.892,0.532,0.53,0.514,0.578,0.534,0.9
0.554,0.89,0.878,0.552,0.888,0.89,0.556,0.888,0.89,0.52,0.888,0.534,0.888,0.888,0.892,0.872,0.884,0.886,0.894,0.548
0.528,0.852,0.508,0.848,0.558,0.878,0.884,0.89,0.886,0.506,0.524,0.542,0.51,0.514,0.53,0.5,0.498,0.528,0.484,0.572
0.89,0.886,0.884,0.844,0.888,0.882,0.864,0.888,0.888,0.886,0.888,0.892,0.53,0.888,0.892,0.53,0.522,0.892,0.486,0.6
0.528,0.558,0.48,0.832,0.888,0.876,0.558,0.568,0.89,0.496,0.888,0.536,0.51,0.516,0.888,0.498,0.502,0.526,0.498,0.894
0.886,0.892,0.564,0.892,0.532,0.89,0.892,0.89,0.892,0.874,0.812,0.886,0.894,0.892,0.892,0.5,0.892,0.556,0.9,0.896
0.524,0.894,0.898,0.896,0.896,0.89,0.84,0.892,0.882,0.886,0.522,0.886,0.89,0.772,0.532,0.498,0.5,0.53,0.642,0.564
0.528,0.528,0.5,0.89,0.892,0.9,0.878,0.89,0.878,0.6,0.878,0.884,0.89,0.528,0.892,0.892,0.552,0.51,0.892,0.896
0.524,0.898,0.892,0.894,0.89,0.892,0.572,0.886,0.882,0.882,0.892,0.886,0.892,0.892,0.894,0.5,0.88,0.52,0.534,0.89
0.894,0.876,0.888,0.892,0.87,0.896,0.88,0.878,0.892,0.894,0.508,0.89,0.89,0.882,0.708,0.5,0.52,0.52,0.89,0.626
0.88,0.55,0.884,0.894,0.882,0.892,0.888,0.89,0.874,0.858,0.888,0.558,0.89,0.568,0.85,0.892,0.508,0.886,0.884,0.888
